event_url,rank,last_name,first_name,nationality,total_time,swim_time,bike_time,run_time,athlete_url
http://triathlonranking2.perfectpace.com/event/1754,52,Fuchs,Christopher,AUT,01:33:37,00:17:13,00:46:26,00:24:43,http://triathlonranking2.perfectpace.com/athlete/243585
http://triathlonranking2.perfectpace.com/event/1754,53,Berger,Martin,AUT,01:33:39,00:17:04,00:45:02,00:28:11,http://triathlonranking2.perfectpace.com/athlete/8137
http://triathlonranking2.perfectpace.com/event/1754,54,Gerdes,Hendrik,GER,01:33:59,00:15:15,00:45:07,00:28:59,http://triathlonranking2.perfectpace.com/athlete/263194
http://triathlonranking2.perfectpace.com/event/1754,55,Pratscher,Manuel,AUT,01:34:08,00:15:49,00:45:48,00:27:53,http://triathlonranking2.perfectpace.com/athlete/263195
http://triathlonranking2.perfectpace.com/event/1754,56,Bacun,Peter,AUT,01:34:13,00:21:23,00:45:06,00:23:55,http://triathlonranking2.perfectpace.com/athlete/79863
http://triathlonranking2.perfectpace.com/event/1754,57,Krenn,Thomas,AUT,01:34:21,00:18:28,00:46:36,00:24:47,http://triathlonranking2.perfectpace.com/athlete/263196
http://triathlonranking2.perfectpace.com/event/1754,58,Grünberger,Klaus,AUT,01:34:28,00:17:03,00:44:25,00:28:27,http://triathlonranking2.perfectpace.com/athlete/225985
http://triathlonranking2.perfectpace.com/event/1754,59,Kahr,Martin,AUT,01:34:45,00:18:56,00:44:54,00:27:42,http://triathlonranking2.perfectpace.com/athlete/2644
http://triathlonranking2.perfectpace.com/event/1754,60,Scherz,Heinz,AUT,01:34:50,00:17:39,00:46:33,00:27:52,http://triathlonranking2.perfectpace.com/athlete/79467
http://triathlonranking2.perfectpace.com/event/1755,1,Spandl,Marcel,AUT,02:04:36,00:23:54,00:57:55,00:40:01,http://triathlonranking2.perfectpace.com/athlete/44258
http://triathlonranking2.perfectpace.com/event/1755,2,Trutz,Alex,SVK,02:05:58,00:22:07,01:01:45,00:39:28,http://triathlonranking2.perfectpace.com/athlete/230970
http://triathlonranking2.perfectpace.com/event/1755,3,Tichy,Philipp,AUT,02:08:28,00:23:15,01:00:41,00:41:51,http://triathlonranking2.perfectpace.com/athlete/2587
http://triathlonranking2.perfectpace.com/event/1755,4,Goll,Bernhard,AUT,02:09:44,00:25:19,01:03:23,00:38:07,http://triathlonranking2.perfectpace.com/athlete/2945
http://triathlonranking2.perfectpace.com/event/1755,5,Lukacs,Markus,AUT,02:11:18,00:23:59,01:02:17,00:42:01,http://triathlonranking2.perfectpace.com/athlete/4476
http://triathlonranking2.perfectpace.com/event/1755,6,Höfler,Alexander,AUT,02:12:22,00:25:33,01:03:55,00:39:45,http://triathlonranking2.perfectpace.com/athlete/169792
http://triathlonranking2.perfectpace.com/event/1755,7,Helmberger,Christian,AUT,02:12:43,00:25:21,01:03:18,00:40:52,http://triathlonranking2.perfectpace.com/athlete/89
http://triathlonranking2.perfectpace.com/event/1755,8,Mair,Wolfgang,AUT,02:13:40,00:27:25,01:01:57,00:41:43,http://triathlonranking2.perfectpace.com/athlete/11523
http://triathlonranking2.perfectpace.com/event/1755,9,Agoston,Koch,HUN,02:15:46,00:25:54,01:08:33,00:38:39,http://triathlonranking2.perfectpace.com/athlete/263345
http://triathlonranking2.perfectpace.com/event/1755,10,Wolf,Eric,AUT,02:16:45,00:25:35,01:05:10,00:43:18,http://triathlonranking2.perfectpace.com/athlete/258623
http://triathlonranking2.perfectpace.com/event/1755,11,Beck-Mannagetta,Paul,AUT,02:20:00,00:26:13,01:08:01,00:41:39,http://triathlonranking2.perfectpace.com/athlete/257663
http://triathlonranking2.perfectpace.com/event/1755,12,Bernat,Koch,HUN,02:20:28,00:26:33,01:10:37,00:40:57,http://triathlonranking2.perfectpace.com/athlete/263346
http://triathlonranking2.perfectpace.com/event/1755,13,Domonkos,Koch,HUN,02:21:30,00:23:10,01:11:39,00:44:18,http://triathlonranking2.perfectpace.com/athlete/263347
http://triathlonranking2.perfectpace.com/event/1755,14,Kiefer,Reinhard,AUT,02:21:59,00:24:57,01:07:21,00:46:01,http://triathlonranking2.perfectpace.com/athlete/192305
http://triathlonranking2.perfectpace.com/event/1755,15,Martin,Christoph,AUT,02:22:17,00:26:55,01:03:01,00:48:47,http://triathlonranking2.perfectpace.com/athlete/200246
